timestamp,moisture,status
2026-05-23T13:10:49.137068,68,OK
2026-05-23T13:10:58.180934,67,OK
2026-05-23T13:11:03.180279,68,OK
2026-05-23T13:11:08.168517,68,OK
2026-05-23T13:11:13.166350,68,OK
2026-05-23T13:11:18.162726,67,OK
2026-05-23T13:11:23.173180,68,OK
2026-05-23T13:11:28.168096,67,OK
2026-05-23T13:11:33.168358,68,OK
2026-05-23T13:11:38.164929,68,OK
2026-05-23T13:11:43.180522,68,OK
2026-05-23T13:11:48.184381,68,OK
2026-05-23T13:11:53.178710,67,OK
2026-05-23T13:11:58.182109,67,OK
2026-05-23T13:12:03.177847,68,OK
2026-05-23T13:12:08.170518,68,OK
2026-05-23T13:12:13.162246,68,OK
2026-05-23T13:12:18.168767,67,OK
2026-05-23T13:12:23.167926,66,OK
2026-05-23T13:12:28.170612,68,OK
2026-05-23T13:12:33.171249,68,OK
2026-05-23T13:12:38.183713,68,OK
2026-05-23T13:12:43.175046,68,OK
2026-05-23T13:12:48.178009,67,OK
2026-05-23T13:12:53.179276,67,OK
2026-05-23T13:12:58.170744,68,OK
2026-05-23T13:13:03.177243,68,OK
2026-05-23T13:13:08.170009,68,OK
2026-05-23T13:13:13.176782,68,OK
2026-05-23T13:13:18.165481,65,OK
2026-05-23T13:13:23.168868,67,OK
2026-05-23T13:13:28.179926,67,OK
2026-05-23T13:13:33.169350,67,OK
2026-05-23T13:13:38.169970,64,OK
2026-05-23T13:13:43.173487,67,OK
2026-05-23T13:13:48.168598,68,OK
2026-05-23T13:13:53.167773,67,OK
2026-05-23T13:13:58.175524,68,OK
2026-05-23T13:14:03.168375,67,OK
2026-05-23T13:14:08.169804,67,OK
2026-05-23T13:14:13.171496,68,OK
2026-05-23T13:14:18.164172,68,OK
2026-05-23T13:14:23.164179,68,OK
2026-05-23T13:14:28.179933,67,OK
2026-05-23T13:14:33.176925,68,OK
2026-05-23T13:14:38.165298,68,OK
2026-05-23T13:14:43.172666,68,OK
2026-05-23T13:14:48.174042,68,OK
2026-05-23T13:14:53.174729,68,OK
2026-05-23T13:14:58.181319,68,OK
2026-05-23T13:15:03.178705,67,OK
2026-05-23T13:15:08.173560,67,OK
2026-05-23T13:15:13.169450,67,OK
2026-05-23T13:15:18.181489,67,OK
2026-05-23T13:15:23.169258,67,OK
2026-05-23T13:15:28.172744,66,OK
2026-05-23T13:15:33.173587,68,OK
2026-05-23T13:15:38.178461,67,OK
2026-05-23T13:15:43.177141,68,OK
2026-05-23T13:15:48.169226,67,OK
2026-05-23T13:15:53.167746,67,OK
2026-05-23T13:15:58.170862,68,OK
2026-05-23T13:16:03.168846,66,OK
2026-05-23T13:16:08.162536,67,OK
2026-05-23T13:16:13.178345,68,OK
2026-05-23T13:16:18.161279,68,OK
2026-05-23T13:16:23.164216,68,OK
2026-05-23T13:16:28.177730,68,OK
2026-05-23T13:16:33.174167,68,OK
2026-05-23T13:16:38.167862,67,OK
2026-05-23T13:16:43.180901,68,OK
2026-05-23T13:16:48.176644,67,OK
2026-05-23T13:16:53.173591,67,OK
2026-05-23T13:16:58.172698,68,OK
2026-05-23T13:17:03.178307,66,OK
2026-05-23T13:17:08.177496,68,OK
2026-05-23T13:17:13.167042,68,OK
2026-05-23T13:17:18.172129,68,OK
2026-05-23T13:17:23.166596,68,OK
2026-05-23T13:17:28.187064,68,OK
2026-05-23T13:17:33.193092,68,OK
2026-05-23T13:17:38.244347,68,OK
2026-05-23T13:17:43.295286,68,OK
2026-05-23T13:17:48.345882,67,OK
2026-05-23T13:17:53.396373,68,OK
2026-05-23T13:17:58.447297,68,OK
2026-05-23T13:18:03.497987,68,OK
2026-05-23T13:18:08.548804,65,OK
2026-05-23T13:18:13.599800,67,OK
2026-05-23T13:18:18.649991,68,OK
2026-05-23T13:18:23.701154,68,OK
2026-05-23T13:18:28.751823,67,OK
2026-05-23T13:18:33.802310,67,OK
2026-05-23T13:18:38.852832,68,OK
2026-05-23T13:18:43.903671,68,OK
2026-05-23T13:18:48.954201,68,OK
2026-05-23T13:18:54.005353,68,OK
2026-05-23T13:18:59.056113,68,OK
2026-05-23T13:19:04.106307,67,OK
2026-05-23T13:19:09.157402,68,OK
2026-05-23T13:19:18.176014,67,OK
2026-05-23T13:19:23.169545,67,OK
2026-05-23T13:19:28.167361,68,OK
2026-05-23T13:19:33.167406,68,OK
2026-05-23T13:19:38.165171,68,OK
2026-05-23T13:19:43.176238,68,OK
2026-05-23T13:19:48.175365,68,OK
2026-05-23T13:19:53.166407,67,OK
2026-05-23T13:19:58.174202,67,OK
2026-05-23T13:20:03.168358,68,OK
2026-05-23T13:20:08.171466,68,OK
2026-05-23T13:20:13.170012,68,OK
2026-05-23T13:20:18.173903,67,OK
2026-05-23T13:20:23.167664,68,OK
2026-05-23T13:20:28.178941,68,OK
2026-05-23T13:20:33.171007,67,OK
2026-05-23T13:20:38.165913,66,OK
2026-05-23T13:20:43.172282,68,OK
2026-05-23T13:20:48.176700,67,OK
2026-05-23T13:20:53.168778,68,OK
2026-05-23T13:20:58.183376,68,OK
2026-05-23T13:21:03.160491,68,OK
2026-05-23T13:21:08.167865,68,OK
2026-05-23T13:21:13.175661,68,OK
2026-05-23T13:21:18.181849,68,OK
2026-05-23T13:21:23.169678,68,OK
2026-05-23T13:21:28.172421,68,OK
2026-05-23T13:21:33.175165,68,OK
2026-05-23T13:21:38.174287,68,OK
2026-05-23T13:21:43.180056,68,OK
2026-05-23T13:21:48.180085,68,OK
2026-05-23T13:21:53.170053,68,OK
2026-05-23T13:21:58.171344,68,OK
2026-05-23T13:22:03.172141,68,OK
2026-05-23T13:22:08.165426,67,OK
2026-05-23T13:22:13.171918,68,OK
2026-05-23T13:22:18.180731,68,OK
2026-05-23T13:22:23.173433,67,OK
2026-05-23T13:22:28.173390,68,OK
2026-05-23T13:22:33.179994,68,OK
2026-05-23T13:22:38.165033,67,OK
2026-05-23T13:22:43.175637,67,OK
2026-05-23T13:22:48.177703,67,OK
2026-05-23T13:22:53.163856,68,OK
2026-05-23T13:22:58.183407,68,OK
2026-05-23T13:23:03.172379,68,OK
2026-05-23T13:23:08.173918,68,OK
2026-05-23T13:23:13.176880,68,OK
2026-05-23T13:23:18.169474,68,OK
2026-05-23T13:23:23.168425,68,OK
2026-05-23T13:23:28.181237,68,OK
2026-05-23T13:23:33.178439,68,OK
2026-05-23T13:23:38.176299,68,OK
2026-05-23T13:23:43.177323,68,OK
2026-05-23T13:23:48.184657,68,OK
2026-05-23T13:23:53.179171,67,OK
2026-05-23T13:23:58.163547,68,OK
2026-05-23T13:24:03.164806,67,OK
2026-05-23T13:24:08.182694,68,OK
2026-05-23T13:24:13.168858,68,OK
2026-05-23T13:24:18.171833,68,OK
2026-05-23T13:24:23.170715,68,OK
2026-05-23T13:24:28.164119,67,OK
2026-05-23T13:24:33.167305,66,OK
2026-05-23T13:24:38.167007,68,OK
2026-05-23T13:24:43.181960,68,OK
2026-05-23T13:24:48.165673,68,OK
2026-05-23T13:24:53.173583,68,OK
2026-05-23T13:24:58.174278,68,OK
2026-05-23T13:25:03.177150,68,OK
2026-05-23T13:25:08.181422,68,OK
2026-05-23T13:25:13.167856,68,OK
2026-05-23T13:25:18.174692,68,OK
2026-05-23T13:25:23.173242,68,OK
2026-05-23T13:25:28.170580,68,OK
2026-05-23T13:25:33.175031,68,OK
2026-05-23T13:25:38.180121,68,OK
2026-05-23T13:25:43.175168,67,OK
2026-05-23T13:25:48.185162,68,OK
2026-05-23T13:25:53.216267,67,OK
2026-05-23T13:25:58.267191,68,OK
2026-05-23T13:26:03.317266,68,OK
2026-05-23T13:26:08.368576,68,OK
2026-05-23T13:26:13.419502,68,OK
2026-05-23T13:26:18.470287,68,OK
2026-05-23T13:26:23.520789,68,OK
2026-05-23T13:26:28.571715,68,OK
2026-05-23T13:26:33.622611,68,OK
2026-05-23T13:26:38.673625,68,OK
2026-05-23T13:26:43.724459,68,OK
2026-05-23T13:26:48.775100,65,OK
2026-05-23T13:26:53.825690,68,OK
2026-05-23T13:26:58.876602,68,OK
2026-05-23T13:27:03.927316,68,OK
2026-05-23T13:27:08.978089,68,OK
2026-05-23T13:27:14.029004,68,OK
2026-05-23T13:27:19.079750,68,OK
2026-05-23T13:27:24.130314,68,OK
2026-05-23T13:27:33.172162,67,OK
2026-05-23T13:27:38.179339,68,OK
2026-05-23T13:27:43.176101,68,OK
2026-05-23T13:27:48.162619,68,OK
2026-05-23T13:27:53.168308,68,OK
2026-05-23T13:27:58.164056,68,OK
2026-05-23T13:28:03.167218,68,OK
2026-05-23T13:28:08.174339,68,OK
2026-05-23T13:28:13.170048,68,OK
2026-05-23T13:28:18.180701,68,OK
2026-05-23T13:28:23.178414,68,OK
2026-05-23T13:28:28.173389,68,OK
2026-05-23T13:28:33.177385,68,OK
2026-05-23T13:28:38.166495,68,OK
2026-05-23T13:28:43.175558,68,OK
2026-05-23T13:28:48.173922,68,OK
2026-05-23T13:28:53.174620,68,OK
2026-05-23T13:28:58.178755,68,OK
2026-05-23T13:29:03.180231,68,OK
2026-05-23T13:29:08.174562,68,OK
2026-05-23T13:29:13.175043,67,OK
2026-05-23T13:29:18.175974,68,OK
2026-05-23T13:29:23.182811,68,OK
2026-05-23T13:29:28.181553,68,OK
2026-05-23T13:29:33.169862,65,OK
2026-05-23T13:29:38.169092,68,OK
2026-05-23T13:29:43.166787,68,OK
2026-05-23T13:29:48.180228,68,OK
2026-05-23T13:29:53.181480,68,OK
2026-05-23T13:29:58.176103,68,OK
2026-05-23T13:30:03.172637,68,OK
2026-05-23T13:30:08.170004,68,OK
2026-05-23T13:30:13.185705,68,OK
2026-05-23T13:30:18.169915,68,OK
2026-05-23T13:30:23.164988,67,OK
2026-05-23T13:30:28.172351,68,OK
2026-05-23T13:30:33.173069,68,OK
2026-05-23T13:30:38.174755,68,OK
